Skyrim.esm | Aia Arria | AiaArria | ImperialRace "Imperial" [RACE:00013744] | 0001325C
Skyrim.esm | Angeline Morrard | AngelineMorrard | BretonRace "Breton" [RACE:00013741] | 00013260
Skyrim.esm | Bjartur | Bjartur | NordRace "Nord" [RACE:00013746] | 00013262
Skyrim.esm | Bryling | Bryling | NordRace "Nord" [RACE:00013746] | 00013265
Skyrim.esm | Safia | Safia | ImperialRace "Imperial" [RACE:00013744] | 00013267
Skyrim.esm | Deeja | Deeja | ArgonianRace "Argonian" [RACE:00013740] | 00013268
Skyrim.esm | Elenwen | Elenwen | HighElfRace "High Elf" [RACE:00013743] | 00013269
Skyrim.esm | Elisif the Fair | ElisifTheFair | NordRace "Nord" [RACE:00013746] | 0001326A
Skyrim.esm | Endarie | Endarie | HighElfRace "High Elf" [RACE:00013743] | 0001326F
Skyrim.esm | Erdi | Erdi | NordRace "Nord" [RACE:00013746] | 00013271
Skyrim.esm | Evette San | EvetteSan | NordRace "Nord" [RACE:00013746] | 00013273
Skyrim.esm | Freir | Freir | NordRace "Nord" [RACE:00013746] | 00013277
Skyrim.esm | Fridrika | Fridrika | NordRace "Nord" [RACE:00013746] | 00013278
Skyrim.esm | Vittoria Vici | VittoriaVici | ImperialRace "Imperial" [RACE:00013744] | 0001327A
Skyrim.esm | Gisli | Gisli | NordRace "Nord" [RACE:00013746] | 00013282
Skyrim.esm | Greta | Greta | NordRace "Nord" [RACE:00013746] | 00013283
Skyrim.esm | Illdi | Illdi | NordRace "Nord" [RACE:00013746] | 00013289
Skyrim.esm | Inge Six Fingers | IngeSixFingers | ElderRace "Old People Race" [RACE:00067CD8] | 0001328A
Skyrim.esm | Jala | Jala | NordRace "Nord" [RACE:00013746] | 0001328C
Skyrim.esm | Katla | Katla | NordRace "Nord" [RACE:00013746] | 00013290
Skyrim.esm | Lisette | Lisette | BretonRace "Breton" [RACE:00013741] | 00013297
Skyrim.esm | Sayma | Sayma | RedguardRace "Redguard" [RACE:00013748] | 0001329A
Skyrim.esm | Minette Vinius | MinetteVinius | NordRaceChild "Nord" [RACE:0002C65B] | 0001329B
Skyrim.esm | Pantea Ateia | PanteaAteia | ImperialRace "Imperial" [RACE:00013744] | 0001329F
Skyrim.esm | Legate Rikke | Rikke | NordRace "Nord" [RACE:00013746] | 000132A1
Skyrim.esm | Sabine Nytte | SabineNytte | BretonRace "Breton" [RACE:00013741] | 000132A3
Skyrim.esm | Silana Petreia | SilanaPetreia | ImperialRace "Imperial" [RACE:00013744] | 000132A5
Skyrim.esm | Svari | Svari | NordRaceChild "Nord" [RACE:0002C65B] | 000132A9
Skyrim.esm | Sybille Stentor | SybilleStentor | BretonRaceVampire "Breton" [RACE:0008883C] | 000132AA
Skyrim.esm | Taarie | Taarie | HighElfRace "High Elf" [RACE:00013743] | 000132AB
Skyrim.esm | Una | Una | NordRace "Nord" [RACE:00013746] | 000132AC
Skyrim.esm | Vivienne Onis | VivienneOnis | BretonRace "Breton" [RACE:00013741] | 000132AE
Skyrim.esm | Alessandra | Alessandra | ImperialRace "Imperial" [RACE:00013744] | 00013347
Skyrim.esm | Anuriel | Anuriel | WoodElfRace "Wood Elf" [RACE:00013749] | 00013349
Skyrim.esm | Constance Michel | ConstanceMichel | ImperialRace "Imperial" [RACE:00013744] | 00013350
Skyrim.esm | Dinya Balu | Dinya | DarkElfRace "Dark Elf" [RACE:00013742] | 00013352
Skyrim.esm | Drifa | Drifa | NordRace "Nord" [RACE:00013746] | 00013354
Skyrim.esm | Edda | Edda | ImperialRace "Imperial" [RACE:00013744] | 00013356
Skyrim.esm | From-Deepest-Fathoms | FromDeepestFathoms | ArgonianRace "Argonian" [RACE:00013740] | 0001335A
